,Country (or dependent territory),2020,2021,2022,2023,2024,2025,2026,2027,2028
134,Papua New Guinea,33498,35028,39111,41785,44885,47210,49628,52074,54691
135,Paraguay,93080,101168,108337,117349,124568,131908,139174,146679,154626
136,Peru,401957,476083,523100,548465,576278,606119,636419,667498,700263
137,Philippines,920938,1017298,1170968,1278624,1384475,1498492,1622465,1756661,1903948
138,Poland,1306726,1460115,1642614,1712629,1791323,1889649,1988639,2088527,2193715
139,Portugal,348521,384217,438623,465131,482851,503174,523196,543045,563616
140,Puerto Rico,112236,117519,128266,132052,134774,137490,140579,145583,149467
141,Qatar,259491,275277,308989,328134,342841,362771,383085,414600,434009
142,Romania,594388,657569,737002,780797,828746,877925,929407,982827,1038077
143,Russia,4124547,4551782,4769827,5056479,5225542,5381514,5538056,5692886,5853459
144,Rwanda,28690,33240,38470,42346,46331,50576,55317,60421,66022
145,Samoa,1202,1167,1183,1325,1403,1481,1555,1625,1692
146,San Marino,2020,2411,2710,2872,2975,3074,3175,3275,3379
147,São Tomé and Príncipe,810,862,923,962,1007,1060,1119,1181,1247
148,Saudi Arabia,1701894,1848083,2150460,2246535,2388954,2540166,2674487,2813196,2953770
149,Senegal,58743,65396,72776,78547,87412,98239,105310,112761,120938
150,Serbia,133138,149621,163707,173075,182306,194279,205969,218209,231143
151,Seychelles,3096,3317,3866,4175,4436,4701,4977,5264,5555
152,Sierra Leone,13792,15003,16695,17784,19048,20440,21784,23174,24691
153,Singapore,569867,648356,719075,753273,786872,822466,859582,897061,936378
154,Slovakia,183325,200876,218534,229584,240650,252375,264476,276583,289314
155,Slovenia,82861,93708,102739,108683,113604,118922,124641,130494,136664
156,Solomon Islands,1573,1634,1678,1783,1867,1963,2061,2162,2268
157,Somalia,25437,27459,30097,32078,34018,36058,38228,40523,43048
158,South Africa,798957,874109,953209,997444,1038538,1076515,1112768,1148978,1186652
159,South Sudan,5627,6193,6658,7143,7612,8186,8792,9414,10109
160,Spain,1805364,2007190,2271746,2413066,2508699,2612495,2711697,2808954,2907950
161,Sri Lanka,299506,323951,319523,319523,319523,319523,319523,319523,319523
162,Saint Kitts and Nevis,1342,1390,1619,1760,1868,1963,2055,2149,2248
163,Saint Lucia,2240,2606,3225,3452,3612,3769,3911,4043,4179
164,Saint Vincent and the Grenadines,1513,1593,1798,1980,2126,2254,2362,2470,2584
165,Sudan,186040,195369,203828,172651,177092,193489,206514,219753,233897
166,Suriname,9828,9988,10798,11435,12041,12650,13282,13931,14614
167,Sweden,569770,631961,695379,715995,736745,769319,801184,832673,865636
168,Switzerland,623105,686210,753846,788335,820699,847289,879277,906098,939500
169,Syria,136359,136359,136359,136359,136359,136359,136359,136359,136359
170,Taiwan,1322237,1471818,1611996,1685358,1774657,1860453,1946341,2031452,2112882
171,Tajikistan,36800,42067,48615,53679,57640,61448,65459,69655,74139
172,Tanzania,169935,186352,208759,227725,247068,267671,291472,317628,346264
173,Thailand,1272999,1349714,1482437,1578452,1665865,1752032,1839549,1929376,2024122
174,Timor-Leste,6667,7335,9407,5062,5079,5342,5609,5883,6172
175,Togo,18320,20289,22972,25103,27032,29039,31230,33551,36052
176,Tonga,626,637,668,711,745,777,805,829,855
177,Trinidad and Tobago,36583,37830,41080,43658,45624,47717,49505,51152,52841
178,Tunisia,128945,140673,154323,162097,168928,176346,184443,192783,201506
179,Turkey,2549640,2968931,3352697,3613540,3805673,4005959,4215233,4430936,4659021
180,Turkmenistan,99885,109193,118739,126132,131710,137003,142295,147636,153215
181,Tuvalu,51,54,58,63,66,69,72,75,78
182,Uganda,106425,117564,133892,145157,156955,172078,187372,203783,220672
183,Ukraine,547292,591509,448954,474773,501066,544391,582702,617091,653666
184,United Arab Emirates,663656,723666,835149,895166,952171,1011707,1075347,1142757,1216007
185,United Kingdom,2967578,3336466,3716621,3871790,3984686,4145605,4312680,4471579,4623903
186,United States,21060450,23315075,25462725,26949643,27966553,29048892,30223881,31428865,32690373
187,Uruguay,79931,87929,98719,103372,109150,114579,119839,124959,130074
188,Uzbekistan,267785,300530,339812,371646,400857,431509,463974,498583,535710
189,Vanuatu,814,856,933,981,1030,1087,1143,1198,1250
190,Venezuela,161152,170074,196547,211926,226480,226480,226480,226480,226480
191,Vietnam,1066633,1143074,1321240,1434211,1551770,1692941,1843905,2006072,2182819
192,Palestine,27403,30642,34078,36391,38221,39927,41516,43120,44797
193,Yemen,60363,62444,67820,69963,72979,79661,86485,93351,100310
194,Zambia,63635,69551,77948,83687,89274,95151,101516,108551,116245
195,Zimbabwe,31967,36218,41168,44448,47094,49728,52381,55074,57779
